Job,Company,Requirements
Electric Automation Sales Engineer,Industrial Services Center - Datco,Full timeEntry Level · 1 - 3 Yrs of Exp · Sales · Sales Skills · Sales Target · Electrical Engineering · Electric Automation · Automation · Schneider Electric · Industrial Automation · English · Electrical
SaaS Sales Account Manager,Corporate Stack Solutions ,Full timeExperienced · 3+ Yrs of Exp · Sales Target · Account Management · Sales · Sales Skills · Customer Service · Presentation Skills · English · SaaS · Business Development · Sales/Retail
Medical Sales Representative - Upper Egypt,Pharaonia Pharma,Full timeEntry Level · 1 - 3 Yrs of Exp · Sales Skills · Pharmacy · Science · Vet · Communication · Negotiation · Skills · Sales · Sales Target · Medical
Commercial Sales Executive (Tanta),Al-Mansour,Full timeExperienced · 2 - 4 Yrs of Exp · Sales · Showroom · Sales Executive · Automotive · Sales Skills · Sales Target · Customer Service · Customer Care · Customer Support · Retail
HR Administrator,MENA INTEL,Full timeExperienced · 3+ Yrs of Exp · Administration · Recruitment · Human Resources (HR) · Microsoft Office · English · Hiring · HR · Computer · Microsoft · Business Administration
Real Estate Sales Agent,Confidential -,Full timeEntry Level · 1+ Yrs of Exp · Sales · Selling Skills · Sales Target · Real Estate Sales · Property Sales · Sales Indoor · Sales Outdoor · Communication Skills · Presentation Skills · Microsoft Office
Sales Manager,Darna Developments ,Full timeManager · 8 - 12 Yrs of Exp · Sales · Management · Real Estate · Planning · Sales Skills · Sales Target · Customer Service · English · Operations/Management · Sales/Retail
Senior PR Account Manager,Influence Communication,Full timeExperienced · 4 - 5 Yrs of Exp · Account Management · Presentation · Time Management · public relations · PR · Media · Marketing/PR/Advertising
Help Desk Specialist,TurnDigital,Full timeEntry Level · 1+ Yrs of Exp · Information Technology (IT) · Computer Science · Installation · Help Desk · Troubleshooting · Computer · English · IT · CCNA · Maintenance
PR Account Manager-Cairo,Influence Communication,Full timeExperienced · 3+ Yrs of Exp · Marketing · PR · Account manager · English · Arabic · Account Management · Writing · Marketing/PR/Advertising · Media/Journalism/Publishing
Outdoor Sales Engineer (Firefighting) - Pumps Sector,FIRE DEGREE,Full timeEntry Level · 1 - 3 Yrs of Exp · Sales · Sales Skills · Engineering · Mechanical Engineering · Sales Target · Customer Support · Electrical Engineering · Outdoor Sales · Firefighting · MEP
Business Development Manager Architect / Civil,Pillars,Full timeManager · 5 - 15 Yrs of Exp · Architecture · Business Development · Sales · Sales Skills · Sales Target · Marketing · Construction · Design · Media · Social Media
Admin Office Assistant,Notion International School,Full timeExperienced · 3+ Yrs of Exp · Admin · Administration · Secretary · Microsoft Office · Office Management · School · International School · Education · English · Microsoft Word
SEO Copywriter,AL-Matar,Full timeExperienced · 2+ Yrs of Exp · SEO · Marketing · Social Media · Digital Marketing · Content · Media · Editing · Content Management · Travel · E-commerce
Product Manager,Maxab,Full timeExperienced · 2 - 3 Yrs of Exp · Product Management · Marketing · Sales · Information Technology (IT) · Computer Science · Engineering · Agile · Business · Communication · Analytical
Product Manager,Future Face,Full timeManager · 2 - 5 Yrs of Exp · Product Management · Information Technology (IT) · Product · Agile · Software Development · Computer Science · Marketing · Business · Business Development · IT/Software Development
Electrical Maintenance Engineer,Mobica,Full timeExperienced · 3 - 5 Yrs of Exp · Electrical Engineering · Automation · PLC · Maintenance · Electronic · CNC · CNC Machines · Machines · English · Electrical
Sales Manager - Cairo,Confidential -,Full timeManager · 5 - 7 Yrs of Exp · Sales · Logistics · Sales Skills · Sales Target · Direct Sales · Customer Service · Communication · Negotiation Skills · English · E-Commerce
E-Commerce Account Manager,Chemi Egypt,Full timeExperienced · 5 - 7 Yrs of Exp · Marketing · E-Commerce · Business Administration · Sales · Customer Service · English · Customer Service/Support · Sales/Retail
Senior Performance Marketing Specialist,"Izam, inc.",Full timeExperienced · 2 - 5 Yrs of Exp · E-Commerce · Digital Marketing · Google Analytics · B2B · Marketing · Social Media · E-marketing · Digital · Google Ads · English
Sales Force Effectiveness (SFE) Associate,Phoenix Marketing Group  ,Full timeEntry Level · 1 - 3 Yrs of Exp · CRM · Sales · SFE · Analysis · Computer Skills · Microsoft Office · Data Entry · Analyst/Research · Sales/Retail
Key Account Manager - Infection Protection Control,STIO Life Science,Full timeExperienced · 3 - 5 Yrs of Exp · Key Accounts · Sales · Protection Control · Business Development · Nursing · Medecine · Pharmacy · Business Development · Customer Service/Support · Medical/Healthcare
Senior Social Media Specialist,MAVINZ ,Full timeExperienced · 3 - 5 Yrs of Exp · Marketing · Social Media · Digital Marketing · Social Media Management · Content Creation · Senior Content Creator · Content Creator · Marketing/PR/Advertising · Media/Journalism/Publishing
Call Center Manager,GlobeMed Egypt,Full timeManager · 5+ Yrs of Exp · Customer Service · Call Center · Customer Support · Leadership · CRM · Management · Customer Care · English · Arabic · COPC
Sales Engineer - Fire Protection Products,Intaact,Full timeEntry Level · 1 - 2 Yrs of Exp · Sales Skills · Sales · Sales Target · Sales Engineer · Engineering · Fire Stopping · Customer Support · Customer Care · Mechanical Engineering · Architecture
Financial Analyst,Fatura ,Full timeExperienced · 2 - 5 Yrs of Exp · Finance · Financial Analysis · Accounting · Analysis · Financial · Reporting · Analyst · Business · English · Accounting/Finance
Commercial Director Real Estate,Confidential -,Full timeSenior Management · 10+ Yrs of Exp · Real Estate · Sales · Sales Skills · Commercial · Marketing · Sales Target · CRM · Management · Brokerage · Operations/Management
Sales Supervisor Cairo,PepsiCo International,Full timeManager · 1 - 3 Yrs of Exp · Sales · Sales Skills · Sales Target · experience · FMCG · Sales/Retail
Medical Representative (Product Specialist) - Infection Control Prevention,STIO Life Science,Full timeExperienced · 2 - 5 Yrs of Exp · Infection Control · Sales · Product · Medicine · Pharmacy · Medical · Infection Prevention · Nursing · Business Development · Medical/Healthcare
Graphic Designer - Real Estate,Confidential -,Full timeExperienced · 3 - 5 Yrs of Exp · Real Estate · Graphic Design · Design · Adobe Photoshop · Creative · Digital · Skills · Communication · English · experience
Social Media Specialist,D-ZAK,Full timeEntry Level · 0 - 1 Yrs of Exp · Marketing · Adobe · Adobe Photoshop · Photoshop · Social Media · E-marketing · Sales · Media · Communication Skills · Moderation
Digital Marketing Specialist,Cellopack for Packaging Industries,Full timeExperienced · 2 - 4 Yrs of Exp · Marketing · Social Media · E-marketing · English · Communication · Social · Facebook Ads · AdWords · Ads · Facebook
Outdoor Sales Representative,ShadyPack,Full timeExperienced · 3 - 5 Yrs of Exp · Sales · Sales Skills · Sales Target · Outdoor Sales · Commercial Chains · FMCG · Communication Skills · English · Sales/Retail
Sales Engineering Manger,Future For General Supplies & Importing and Subcontracting,Full timeManager · 5 - 7 Yrs of Exp · Sales Skills · Sales · Engineering · Electrical Engineering · Telecom Engineering · Business Development · Sales/Retail · Engineering - Mechanical/Electrical
In-House Sales & Marketing Specialist,All Localized,Full timeEntry Level · 0 - 1 Yrs of Exp · Sales · Sales Planning · Cold Calling · Marketing · Project Management · Sales Skills · Marketing Campaigns · Marketing/PR/Advertising · Sales/Retail
Wholesale Sales Representative,L'azurde for Jewelry,Full timeEntry Level · 1+ Yrs of Exp · males_only · Wholesales · Sales · Sales Skills · Promoting · Sales Target · Sales Outdoor · Wholesale · B2B Sales · English · Sales/Retail
Showroom Sales Executive - Automotive,Al-Mansour,Full timeEntry Level · 1 - 3 Yrs of Exp · Sales · Sales Skills · Automotive · Sales Target · Showroom · Vehicles · Cars · Automotive Sales · Sales/Retail
Accounting Manager,Confidential -,Full timeManager · 10 - 15 Yrs of Exp · Accounting · Finance · Financial Management · Financial Analysis · Financial · Management · MBA · CPA · Excel · Microsoft Excel
Help Desk - Qantarah Sharq,Sinai University,Full timeEntry Level · 1 - 3 Yrs of Exp · Help Desk · IT · MCSA · CCNA · Installation/Maintenance/Repair · IT/Software Development
Inbound Manager,Confidential -,Full timeManager · 10+ Yrs of Exp · Tourism · Inbound · Management · Operations/Management · Tourism/Travel
Accounting Manager,Breadfast,Full timeManager · 7+ Yrs of Exp · Accounting · Microsoft Excel · CPA · MBA · CMA · Manager · Auditing · Financial Management · Excel · English
Technical Team Lead,Second profit  ,Full timeManager · 8+ Yrs of Exp · Computer Science · Software · AWS · PHP · MySQL · jQuery · Software Development · RDS · Data Warehouses · Big data
Accountant - Damietta,DNM Textile,Full timeExperienced · 3 - 5 Yrs of Exp · Incentive · English · Accounting · Computer Skills · Microsoft Office · Microsoft Excel · Financial Analysis · Commerce · Accounting/Finance
Medical Representative - Sharqia,Delta Pharma Egypt,Full timeEntry Level · 0 - 2 Yrs of Exp · Medical · Healthcare · Pharmacy · Pharma · Pharmaceutical · Science · Medicine · Sales · Sales Skills · Sales Target
Medical Representative - Sohag,Delta Pharma Egypt,Full timeEntry Level · 0 - 2 Yrs of Exp · Medical · Healthcare · Pharmacy · Pharma · Pharmaceutical · Science · Medicine · Sales · Sales Skills · Sales Target
Medical Representative - Tanta,Delta Pharma Egypt,Full timeEntry Level · 0 - 2 Yrs of Exp · Medical · Healthcare · Pharmacy · Pharma · Pharmaceutical · Science · Medicine · Sales · Sales Skills · Sales Target
Medical Representative - Minya,Delta Pharma Egypt,Full timeEntry Level · 0 - 2 Yrs of Exp · Medical · Healthcare · Pharmacy · Pharma · Pharmaceutical · Science · Medicine · Sales · Sales Skills · Sales Target
Medical Representative - Cairo,Delta Pharma Egypt,Full timeEntry Level · 0 - 2 Yrs of Exp · Medical · Healthcare · Pharmacy · Pharma · Pharmaceutical · Science · Medicine · Sales · Sales Skills · Sales Target
Medical Representative - Giza,Delta Pharma Egypt,Full timeEntry Level · 0 - 2 Yrs of Exp · Medical · Healthcare · Pharmacy · Pharma · Pharmaceutical · Science · Medicine · Sales · Sales Skills · Sales Target
Courier,DHL Express Egypt,Full timeEntry Level · 1 - 3 Yrs of Exp · males_only · Courier · Logistics · Supply Chain · Operations · Delivery · Production · Support · Logistics/Supply Chain
Growth Marketing Specialist,Future Group,Full timeWork from homeExperienced · 3 - 5 Yrs of Exp · Growth Marketing · Digital Marketing · SEO · Marketing · Growth · Business Development · marketing automation systems · Social Media · Economics · Hubspot
Sales Specialist,Confidential -,Full timeEntry Level · 1 - 3 Yrs of Exp · Sales · Sales Skills · Sales Target · Communication · Negotiation · Customer Service · Medical/Healthcare · Sales/Retail
Junior Sales Specialist,myfatoorah,Full timeEntry Level · 0 - 3 Yrs of Exp · Sales · Sales Skills · Sales Target · Sales/Retail
Financial Manager,Drobina Stores,Full timeManager · 3+ Yrs of Exp · males_only · Accounting · Financial Management · Finance · Financial Reporting · Financial Analysis · Financial · Accounting Software · Reporting · Accounting/Finance
Marketing Manager,El Moltqa,Full timeManager · 3 - 5 Yrs of Exp · Marketing · Social Media · Sales · Media · Real Estate · Sales Target · Sales Skils · Business Development · Marketing Management · Marketing Planning
Digital Marketing Manager,Confidential -,Full timeManager · 3 - 7 Yrs of Exp · Social Media · Marketing · Digital Marketing · Media · MBA · Marketing/PR/Advertising · Media/Journalism/Publishing
